iter	Logloss
0	0.5708416132
1	0.5335425484
2	0.4969105372
3	0.4825699945
4	0.4729515316
5	0.4665260349
6	0.4637527224
7	0.4608503581
8	0.4552602915
9	0.454461451
10	0.4533452809
11	0.4511938245
12	0.4487315508
13	0.4459684938
14	0.4450552055
15	0.4446558144
16	0.4420812393
17	0.4405625928
18	0.4395982913
19	0.4387943233
20	0.4378469994
21	0.4341041768
22	0.4335343539
23	0.4314388945
24	0.430376797
25	0.4287803078
26	0.4269495353
27	0.4265235468
28	0.4254127671
29	0.4236601784
30	0.4229440871
31	0.421738036
32	0.4208541435
33	0.4205734402
34	0.4202662053
35	0.4195458186
36	0.4191677342
37	0.4184235139
38	0.4179334071
39	0.4173550707
40	0.4166543299
41	0.4153309825
42	0.4146119718
43	0.4136761642
44	0.4128811538
45	0.4118668377
46	0.4115333293
47	0.4109256842
48	0.4104561574
49	0.4101473644
50	0.409627863
51	0.4093218283
52	0.4087367351
53	0.4080995086
54	0.4075348409
55	0.4067359848
56	0.4061498844
57	0.4057861216
58	0.4055213249
59	0.4047861428
60	0.4045508727
61	0.4042051121
62	0.4038648992
63	0.4033015297
64	0.4028423915
65	0.4024568717
66	0.4021225963
67	0.4017637112
68	0.4012192511
69	0.4010836794
70	0.4008910846
71	0.4000123988
72	0.3997395732
73	0.3991587546
74	0.3986415054
75	0.3982850707
76	0.3979361882
77	0.3974207033
78	0.3970827084
79	0.3968834978
80	0.3962822691
81	0.3960557476
82	0.3958389713
83	0.3945217768
84	0.3942550924
85	0.3934808942
86	0.3930074368
87	0.3927792349
88	0.3924262141
89	0.3919749504
90	0.3913611886
91	0.3910225987
92	0.3904576124
93	0.3903655801
94	0.390102055
95	0.3896805068
96	0.3894799208
97	0.38920337
98	0.3888892631
99	0.3885678736
100	0.3883141291
101	0.3881297689
102	0.3878014087
103	0.3875636372
104	0.3870002143
105	0.386713383
106	0.386473367
107	0.3862350687
108	0.3856704483
109	0.3854377003
110	0.385213789
111	0.3850322657
112	0.3848263937
113	0.3844884756
114	0.3840585478
115	0.3839000546
116	0.3835850398
117	0.3834257915
118	0.3830213826
119	0.3827993812
120	0.382546385
121	0.3824102129
122	0.382235947
123	0.3819201161
124	0.3817004134
125	0.3813311036
126	0.3811570358
127	0.3810011354
128	0.3806780054
129	0.3802737205
130	0.3799384917
131	0.3797670471
132	0.3795214983
133	0.3793396783
134	0.379024245
135	0.3787966493
136	0.3784493503
137	0.3782926718
138	0.3780242924
139	0.3778107258
140	0.3774845392
141	0.3772923849
142	0.3771896223
143	0.3763738498
144	0.3762823937
145	0.3759514686
146	0.3756847194
147	0.3755405581
148	0.3753418815
149	0.3752154487
150	0.3750385108
151	0.3747278256
152	0.3745627605
153	0.3743607717
154	0.3740591065
155	0.3738978945
156	0.3737175081
157	0.3734832527
158	0.3732423958
159	0.3730802752
160	0.3728907124
161	0.3727304549
162	0.3726139002
163	0.3723919116
164	0.3720845462
165	0.3718263107
166	0.3716471152
167	0.3715450026
168	0.371340367
169	0.3712895456
170	0.3711468935
171	0.3709022432
172	0.3707923305
173	0.3705659332
174	0.3702209904
175	0.3699837021
176	0.3697897648
177	0.3696428346
178	0.3692166503
179	0.3690256749
180	0.3688884467
181	0.3685838736
182	0.3678887298
183	0.3676265912
184	0.3673125736
185	0.3670632579
186	0.3669212922
187	0.3667850168
188	0.366542557
189	0.3662769316
190	0.3660378947
191	0.3658775441
192	0.3657632187
193	0.3656610498
194	0.3651931076
195	0.3650664864
196	0.3647810096
197	0.3646796088
198	0.3646099522
199	0.3645166057
200	0.3642774912
201	0.3640608498
202	0.363864619
203	0.3637764776
204	0.3633857127
205	0.3630385406
206	0.362931376
207	0.3627173826
208	0.362557337
209	0.3624409865
210	0.3622416376
211	0.3619585113
212	0.3618063408
213	0.361672381
214	0.3615240097
215	0.3613115219
216	0.3611693557
217	0.3609524092
218	0.3608515464
219	0.3607063492
220	0.36036131
221	0.3602323448
222	0.3601127716
223	0.3599623271
224	0.3597588413
225	0.3596815428
226	0.3596020488
227	0.3595315104
228	0.359099021
229	0.3589064118
230	0.3586714017
231	0.358515717
232	0.3582601971
233	0.3581300253
234	0.3579864291
235	0.3578601673
236	0.3577599317
237	0.3576130292
238	0.3573869785
239	0.3572550227
240	0.3571296413
241	0.35686561
242	0.3566982653
243	0.3565606947
244	0.3564347608
245	0.3562837069
246	0.3560674894
247	0.3559099317
248	0.3557522798
249	0.3555416486
250	0.355265306
251	0.3551258593
252	0.3550804748
253	0.3549431686
254	0.3548470212
255	0.3546761383
256	0.3543563922
257	0.3541750863
258	0.3540315507
259	0.3539097212
260	0.3536339516
261	0.3535982085
262	0.3535094632
263	0.353417426
264	0.3533189652
265	0.3532383369
266	0.3531702657
267	0.3529544793
268	0.3528226442
269	0.3527429446
270	0.352638378
271	0.3525779845
272	0.3524411919
273	0.3522428345
274	0.3522098123
275	0.3521079177
276	0.3519699266
277	0.3518359208
278	0.3516977558
279	0.3516440372
280	0.3514772789
281	0.3512870877
282	0.3510602728
283	0.3508286057
284	0.3507464875
285	0.3506172757
286	0.3503899458
287	0.3502089489
288	0.3500930647
289	0.3499799661
290	0.3498260536
291	0.3496923903
292	0.3496126689
293	0.3495261655
294	0.3493972452
295	0.3493713373
296	0.3492613164
297	0.3491404401
298	0.3489676586
299	0.3487612856
300	0.3486574534
301	0.3485946064
302	0.3485521256
303	0.3484032895
304	0.3482110196
305	0.3481191946
306	0.3480239628
307	0.347908976
308	0.3477538236
309	0.3476689034
310	0.3474979674
311	0.3473229215
312	0.3468267277
313	0.3466494743
314	0.3464906413
315	0.3464128876
316	0.3461355085
317	0.3460070854
318	0.3460022029
319	0.3458919045
320	0.3457619861
321	0.3456439725
322	0.3455628871
323	0.3454886441
324	0.3453221015
325	0.3451634307
326	0.3450321946
327	0.3448560628
328	0.3447783144
329	0.3446811767
330	0.344674654
331	0.3446099095
332	0.3444104283
333	0.3443399595
334	0.3441558864
335	0.3441558425
336	0.3440814525
337	0.3439003267
338	0.3438198011
339	0.3437159153
340	0.3435671347
341	0.3434602912
342	0.3432816492
343	0.3430418575
344	0.3429145821
345	0.3426627659
346	0.342598633
347	0.3424363037
348	0.3422865023
349	0.3420478866
350	0.3419283064
351	0.3418237761
352	0.3416451028
353	0.3414695281
354	0.3413394424
355	0.3410156804
356	0.3408866355
357	0.3406641012
358	0.3404903982
359	0.3404184503
360	0.3402896848
361	0.3401440686
362	0.3399360868
363	0.3397591566
364	0.3396239653
365	0.3395409358
366	0.3393787858
367	0.3393312255
368	0.3392046854
369	0.3390740357
370	0.3390118088
371	0.3388824131
372	0.3387642903
373	0.3386637792
374	0.3384970876
375	0.3383664092
376	0.3383008682
377	0.3382194093
378	0.3381145015
379	0.3380542693
380	0.337964585
381	0.3378684212
382	0.3377092756
383	0.337593149
384	0.3373884047
385	0.3372835812
386	0.337163118
387	0.3370901191
388	0.3370243996
389	0.3369602084
390	0.3368075495
391	0.3365987941
392	0.3364046405
393	0.3363267963
394	0.3361668364
395	0.3360244063
396	0.3356961562
397	0.3355768588
398	0.335368342
399	0.3352801202
400	0.3350140636
401	0.33488714
402	0.3347596975
403	0.3346720744
404	0.3346066028
405	0.3345533138
406	0.3344010021
407	0.3343195752
408	0.3342570215
409	0.3341418589
410	0.3338975681
411	0.3337105714
412	0.3336268585
413	0.3334939717
414	0.3333511484
415	0.3331964856
416	0.333058108
417	0.3327503152
418	0.3326512615
419	0.3325113577
